layer,real_accuracy,real_std,shuffled_mean,shuffled_std,chance,n_shuffles,stage,model
0,1.0,0.0,0.388,0.02694987677129834,0.25,10,llm,llava-next-video
4,1.0,0.0,0.37223076923076925,0.028039384811220747,0.25,10,llm,llava-next-video
8,1.0,0.0,0.3712307692307692,0.030617317295007995,0.25,10,llm,llava-next-video
12,1.0,0.0,0.35923076923076924,0.024909302936474642,0.25,10,llm,llava-next-video
16,1.0,0.0,0.3196923076923077,0.03101288146187076,0.25,10,llm,llava-next-video
20,1.0,0.0,0.32976923076923076,0.036513837856757624,0.25,10,llm,llava-next-video
24,1.0,0.0,0.3423846153846154,0.016987464922614007,0.25,10,llm,llava-next-video
28,1.0,0.0,0.3475384615384616,0.026975333900681474,0.25,10,llm,llava-next-video
31,1.0,0.0,0.33984615384615385,0.032162310258801875,0.25,10,llm,llava-next-video
